2025-10-19 23:53:38 MSK | INFO     | User:0          | main                 | === БОТ УСПЕШНО ЗАПУЩЕН И ГОТОВ К РАБОТЕ ===
2025-10-19 23:53:38 MSK | INFO     | User:0          | bot                  | Запуск бота в режиме polling...
2025-10-19 23:53:38 MSK | INFO     | User:0          | bot                  | Очистка старых webhook и pending updates...
2025-10-19 23:53:38 MSK | INFO     | User:0          | bot                  | Webhook удален и pending updates очищены
2025-10-19 23:53:39 MSK | INFO     | User:0          | websocket.websocket_manager | Подключен к публичному WebSocket
2025-10-19 23:53:39 MSK | INFO     | User:0          | bot                  | Запуск polling с защитой от старых команд...
2025-10-19 23:53:56 MSK | INFO     | User:1143354705 | bot                  | Получено сообщение: /settings...
2025-10-19 23:53:56 MSK | INFO     | User:1143354705 | basic_handlers       | Команда 'settings' выполнена
2025-10-19 23:53:58 MSK | INFO     | User:1143354705 | bot                  | Получен callback: reset_settings
2025-10-19 23:53:59 MSK | INFO     | User:1143354705 | bot                  | Получен callback: confirm_do_reset_settings
2025-10-19 23:53:59 MSK | WARNING  | User:1143354705 | callback             | Пользователь сбросил все настройки к значениям по умолчанию.
2025-10-19 23:54:00 MSK | INFO     | User:1143354705 | bot                  | Получен callback: settings
2025-10-19 23:54:01 MSK | INFO     | User:1143354705 | bot                  | Получен callback: strategy_settings
2025-10-19 23:54:02 MSK | INFO     | User:1143354705 | bot                  | Получен callback: configure_strategy_signal_scalper
2025-10-19 23:54:03 MSK | INFO     | User:1143354705 | bot                  | Получен callback: set_param_signal_scalper_leverage
2025-10-19 23:54:17 MSK | INFO     | User:1143354705 | bot                  | Получено сообщение: 2...
2025-10-19 23:54:17 MSK | INFO     | User:1143354705 | callback             | Обновлен параметр leverage=2.0 для стратегии signal_scalper
2025-10-19 23:54:21 MSK | INFO     | User:1143354705 | bot                  | Получен callback: set_param_signal_scalper_leverage
2025-10-19 23:54:23 MSK | INFO     | User:1143354705 | bot                  | Получено сообщение: 3...
2025-10-19 23:54:23 MSK | INFO     | User:1143354705 | callback             | Обновлен параметр leverage=3.0 для стратегии signal_scalper
2025-10-19 23:54:24 MSK | INFO     | User:1143354705 | bot                  | Получен callback: set_param_signal_scalper_order_amount
